Country,Country_Code,Indicator_Name,Indicator_Code,one,two,three,four,five,six,
Tanzania,TZA,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,36.7750282287598,33.6875915527344,,,,
Tanzania,TZA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,31.7313995361328,30.8216209411621,,,,
Tanzania,TZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,34.2448997497559,32.2560806274414,,,,
